,time,mem_transfer_included,gpu_or_naive,sub_function,num_rows,num_cols
193,0.00011055999994277955,False,gpu,choose_best_score,6,100
194,0.000299456000328064,True,gpu,split_data,6,100
195,5.318399891257286e-05,False,gpu,split_data,6,100
196,2.3603439331054688e-05,True,gpu,check_terminal_case,100,4
197,0.00039398398995399474,True,gpu,calculate_score,4,100
198,5.119999870657921e-05,False,gpu,calculate_score,4,100
199,0.0007684800028800964,True,gpu,choose_best_score,4,100
200,0.0002781440019607544,False,gpu,choose_best_score,4,100
201,0.00031174400448799133,True,gpu,split_data,4,100
202,4.566400125622749e-05,False,gpu,split_data,4,100
203,2.5272369384765625e-05,True,gpu,check_terminal_case,100,1
204,1.4543533325195312e-05,True,gpu,check_terminal_case,100,5
205,1.1205673217773438e-05,True,gpu,check_terminal_case,100,2
206,9.775161743164062e-06,True,gpu,check_terminal_case,100,2
207,0.007982254028320312,True,gpu,top_level,10,100
208,1.7404556274414062e-05,True,naive,check_terminal_case,100,10
209,0.03890347480773926,True,naive,calculate_score,100,10
210,5.078315734863281e-05,True,naive,choose_best_score,100,10
211,2.002716064453125e-05,True,naive,split_data,100,10
212,1.1444091796875e-05,True,naive,check_terminal_case,100,7
213,0.02671957015991211,True,naive,calculate_score,100,7
214,3.4332275390625e-05,True,naive,choose_best_score,100,7
215,1.8835067749023438e-05,True,naive,split_data,100,7
216,1.0728836059570312e-05,True,naive,check_terminal_case,100,3
217,9.298324584960938e-06,True,naive,check_terminal_case,100,5
218,0.01871776580810547,True,naive,calculate_score,100,5
219,4.649162292480469e-05,True,naive,choose_best_score,100,5
220,1.9788742065429688e-05,True,naive,split_data,100,5
221,1.2159347534179688e-05,True,naive,check_terminal_case,100,2
222,1.049041748046875e-05,True,naive,check_terminal_case,100,3
223,9.5367431640625e-06,True,naive,check_terminal_case,100,2
224,0.08498072624206543,True,naive,top_level,10,100
225,0.0019965171813964844,True,sklearn,top_level,100,100
226,2.4557113647460938e-05,True,gpu,check_terminal_case,100,100
227,0.0005520319938659668,True,gpu,calculate_score,100,100
228,0.00012630400061607361,False,gpu,calculate_score,100,100
229,0.0007485759854316712,True,gpu,choose_best_score,100,100
230,0.00012105599790811539,False,gpu,choose_best_score,100,100
231,0.0003197759985923767,True,gpu,split_data,100,100
232,4.572800174355507e-05,False,gpu,split_data,100,100
233,2.6702880859375e-05,True,gpu,check_terminal_case,100,57
234,0.00045459198951721194,True,gpu,calculate_score,57,100
235,9.417600184679031e-05,False,gpu,calculate_score,57,100
236,0.0006679040193557739,True,gpu,choose_best_score,57,100
237,0.00011129599809646607,False,gpu,choose_best_score,57,100
238,0.0003177280128002167,True,gpu,split_data,57,100
239,4.368000105023384e-05,False,gpu,split_data,57,100
240,2.6941299438476562e-05,True,gpu,check_terminal_case,100,43
241,0.0004591040015220642,True,gpu,calculate_score,43,100
242,8.4927998483181e-05,False,gpu,calculate_score,43,100
243,0.0006620479822158814,True,gpu,choose_best_score,43,100
244,0.00011212799698114396,False,gpu,choose_best_score,43,100
245,0.00033744001388549805,True,gpu,split_data,43,100
246,4.716800153255463e-05,False,gpu,split_data,43,100
247,2.5510787963867188e-05,True,gpu,check_terminal_case,100,2
248,1.3113021850585938e-05,True,gpu,check_terminal_case,100,55
249,1.0728836059570312e-05,True,gpu,check_terminal_case,100,26
250,9.775161743164062e-06,True,gpu,check_terminal_case,100,17
251,0.010284900665283203,True,gpu,top_level,100,100
252,1.8358230590820312e-05,True,naive,check_terminal_case,100,100
253,0.4182252883911133,True,naive,calculate_score,100,100
254,6.270408630371094e-05,True,naive,choose_best_score,100,100
255,4.601478576660156e-05,True,naive,split_data,100,100
256,1.1682510375976562e-05,True,naive,check_terminal_case,100,63
257,0.21077680587768555,True,naive,calculate_score,100,63
258,5.698204040527344e-05,True,naive,choose_best_score,100,63
259,2.8371810913085938e-05,True,naive,split_data,100,63
260,1.3589859008789062e-05,True,naive,check_terminal_case,100,37
261,0.1214449405670166,True,naive,calculate_score,100,37
262,4.3392181396484375e-05,True,naive,choose_best_score,100,37
263,2.4080276489257812e-05,True,naive,split_data,100,37
264,1.1920928955078125e-05,True,naive,check_terminal_case,100,3
265,0.008942842483520508,True,naive,calculate_score,100,3
266,3.314018249511719e-05,True,naive,choose_best_score,100,3
267,1.9073486328125e-05,True,naive,split_data,100,3
268,1.1205673217773438e-05,True,naive,check_terminal_case,100,60
269,1.0013580322265625e-05,True,naive,check_terminal_case,100,24
270,0.07769966125488281,True,naive,calculate_score,100,24
271,4.220008850097656e-05,True,naive,choose_best_score,100,24
272,2.6941299438476562e-05,True,naive,split_data,100,24
273,1.0251998901367188e-05,True,naive,check_terminal_case,100,13
274,0.8380160331726074,True,naive,top_level,100,100
275,0.0031692981719970703,True,sklearn,top_level,1000,100
276,4.076957702636719e-05,True,gpu,check_terminal_case,100,1000
277,0.003791167974472046,True,gpu,calculate_score,1000,100
278,0.0031519041061401367,False,gpu,calculate_score,1000,100
279,0.0008888000249862671,True,gpu,choose_best_score,1000,100
280,0.0001215360015630722,False,gpu,choose_best_score,1000,100
281,0.0004223360121250153,True,gpu,split_data,1000,100
282,5.1231998950243e-05,False,gpu,split_data,1000,100
283,3.552436828613281e-05,True,gpu,check_terminal_case,100,554
284,0.0015611200332641601,True,gpu,calculate_score,554,100
285,0.0011181759834289551,False,gpu,calculate_score,554,100
286,0.0007702720165252686,True,gpu,choose_best_score,554,100
287,0.00011488000303506852,False,gpu,choose_best_score,554,100
288,0.0003904959857463837,True,gpu,split_data,554,100
289,4.572800174355507e-05,False,gpu,split_data,554,100
290,3.457069396972656e-05,True,gpu,check_terminal_case,100,446
291,0.001268288016319275,True,gpu,calculate_score,446,100
292,0.000839680016040802,False,gpu,calculate_score,446,100
293,0.0007482560276985169,True,gpu,choose_best_score,446,100
294,0.00011209599673748017,False,gpu,choose_best_score,446,100
295,0.00038547199964523315,True,gpu,split_data,446,100
296,4.710400104522705e-05,False,gpu,split_data,446,100
297,2.6226043701171875e-05,True,gpu,check_terminal_case,100,4
298,1.7642974853515625e-05,True,gpu,check_terminal_case,100,550
299,1.1682510375976562e-05,True,gpu,check_terminal_case,100,214
300,0.0006663039922714234,True,gpu,calculate_score,214,100
301,0.00026809599995613096,False,gpu,calculate_score,214,100
302,0.0007032960057258606,True,gpu,choose_best_score,214,100
303,0.00011059200018644334,False,gpu,choose_best_score,214,100
304,0.0003309119939804077,True,gpu,split_data,214,100
305,4.479999840259552e-05,False,gpu,split_data,214,100
306,3.3855438232421875e-05,True,gpu,check_terminal_case,100,232
307,1.33514404296875e-05,True,gpu,check_terminal_case,100,213
308,1.049041748046875e-05,True,gpu,check_terminal_case,100,1
309,0.0416264533996582,True,gpu,top_level,1000,100
310,3.9577484130859375e-05,True,naive,check_terminal_case,100,1000
311,6.810589790344238,True,naive,calculate_score,100,1000
312,0.0002777576446533203,True,naive,choose_best_score,100,1000
313,0.00023102760314941406,True,naive,split_data,100,1000
314,3.0040740966796875e-05,True,naive,check_terminal_case,100,505
315,2.352407455444336,True,naive,calculate_score,100,505
316,0.00013518333435058594,True,naive,choose_best_score,100,505
317,9.72747802734375e-05,True,naive,split_data,100,505
318,2.0503997802734375e-05,True,naive,check_terminal_case,100,495
319,2.2934553623199463,True,naive,calculate_score,100,495
320,0.0001442432403564453,True,naive,choose_best_score,100,495
321,0.00014710426330566406,True,naive,split_data,100,495
322,2.2411346435546875e-05,True,naive,check_terminal_case,100,255
323,0.987497091293335,True,naive,calculate_score,100,255
324,9.799003601074219e-05,True,naive,choose_best_score,100,255
325,5.626678466796875e-05,True,naive,split_data,100,255
326,1.6927719116210938e-05,True,naive,check_terminal_case,100,240
